5 6 2 7 1 8 3 4 0,835,22,0.00637092,9.08244,12
5 3 2 8 7 1 4 0 6,1024,23,0.00603687,10.0667,15
1 0 7 5 2 4 3 8 6,72,17,0.000455004,9.15079,13
3 6 4 2 8 0 5 7 1,953,25,0.00539422,11.6783,17
0 6 1 7 4 2 3 8 5,91,16,0.000581658,6.72561,10
0 3 8 2 1 4 7 6 5,652,22,0.00489703,9.37182,12
0 8 2 1 5 6 7 3 4,350,22,0.00175268,10.4395,14
5 0 2 6 4 8 1 7 3,612,21,0.00341195,9.81136,11
3 0 8 4 1 2 6 7 5,232,17,0.00106455,7.8625,7
7 2 6 3 1 5 8 0 4,177,21,0.00119306,10.8271,13
2 4 7 0 3 6 8 1 5,511,23,0.00371225,9.97655,15
2 1 6 0 4 3 7 5 8,1037,23,0.00603316,10.3864,11
1 2 8 0 3 7 5 6 4,197,19,0.000937909,8.38938,13
1 4 8 2 7 6 0 3 5,697,22,0.00520573,9.28096,14
5 0 2 1 6 8 7 3 4,239,19,0.00116379,7.90571,13
6 2 1 5 0 4 3 8 7,1622,22,0.010179,9.72591,10
1 8 0 4 5 2 6 7 3,315,20,0.00209357,8.87339,10
7 6 4 8 1 3 5 0 2,30,21,0.000119644,10.3269,19
1 8 7 5 0 4 2 3 6,373,22,0.00197931,10.5618,18
2 8 0 4 1 7 5 6 3,550,22,0.00294305,10.553,16
7 8 1 3 6 2 4 5 0,34,16,0.000149844,8.22951,14
1 4 7 3 6 2 0 8 5,118,16,0.000553907,8.47549,10
5 2 3 4 7 1 8 0 6,1449,25,0.00860412,10.8645,15
5 1 3 2 6 4 7 8 0,873,22,0.00595674,10.0839,14
1 0 2 5 8 6 4 7 3,808,23,0.00469431,9.78436,13
4 7 6 0 5 2 3 8 1,1167,25,0.0080853,10.5056,15
5 8 2 1 7 6 3 0 4,308,21,0.00223465,9.42476,15
3 0 2 6 1 4 5 7 8,41,13,0.000168995,6.08,7
2 0 1 7 5 3 8 6 4,533,23,0.0029237,11.0371,13
8 1 0 5 3 7 2 4 6,346,24,0.00182358,11.5,16
