809224,22,0.1040420450,0,12
1659716,23,0.2153193250,0,15
56332,17,0.0072251390,0,13
3832745,25,0.4926422320,0,17
20305,16,0.0035715190,0,10
572929,22,0.0707878980,0,12
840836,22,0.1092991980,0,14
336804,21,0.0429275090,0,11
48030,17,0.0062670700,0,7
523656,21,0.0739074120,0,13
1183127,23,0.1486649450,0,15
1229083,23,0.1601733620,0,11
144153,19,0.0170190000,0,13
726908,22,0.0963818010,0,14
119854,19,0.0156396640,0,13
746437,22,0.0960867000,0,10
201422,20,0.0259614150,0,10
463439,21,0.0606796910,0,19
880730,22,0.1153027060,0,18
529433,22,0.0720846900,0,16
25389,16,0.0033696470,0,14
18803,16,0.0022369780,0,10
3233556,25,0.4190473850,0,15
559966,22,0.0738160250,0,14
1161412,23,0.1472441320,0,13
3012022,25,0.3897630530,0,15
533665,21,0.0724186770,0,15
6472,13,0.0011412450,0,7
1258485,23,0.1603268790,0,13
1506581,24,0.1946372460,0,16
2082556,24,0.2716407730,0,14
28816,16,0.0036449090,0,12
57963,18,0.0078300510,0,16
1339032,23,0.1758431740,0,13
5227219,26,0.6881393080,0,14
10582097,27,1.3747812140,0,17
618550,22,0.0840279130,0,14
5647709,26,0.7413099090,0,14
707091,22,0.0938343810,0,12
3906491,25,0.4970017940,0,13
13166,14,0.0027891450,0,8
4826279,25,0.6316356700,0,19
445186,21,0.0586154940,0,11
5301125,26,0.6940675130,0,16
1521264,24,0.1996600690,0,14
2550556,24,0.3249126950,0,20
60744,18,0.0092959960,0,14
1071876,23,0.1378050200,0,15
542261,21,0.0697555910,0,11
13426501,28,1.7520453310,0,16
323493,20,0.0436908420,0,12
9617303,27,1.2421690130,0,15
160297,19,0.0204926130,0,11
5150682,26,0.6488632280,0,16
86884,18,0.0122215590,0,12
2296791,24,0.3200614780,0,16
60654,18,0.0088638880,0,8
1715624,24,0.2249217030,0,12
1336827,23,0.1685338810,0,17
2536222,24,0.3115884110,0,16
15171649,27,1.9676860210,0,19
3587527,25,0.4629843370,0,13
344582,21,0.0480558760,0,15
599226,22,0.0809635290,0,18
15073854,28,1.9796972970,0,14
277227,20,0.0362016630,0,16
10843669,27,1.3927527840,0,17
10295974,27,1.4075823070,0,15
4095213,25,0.5099877040,0,19
1665813,24,0.2104520780,0,10
1583030,24,0.1958873450,0,16
792904,22,0.0987761590,0,16
12496979,27,1.5686217530,0,15
5225955,26,0.6377475260,0,18
4088312,25,0.5216905390,0,11
4873453,26,0.6380484290,0,20
214527,20,0.0294634290,0,14
5735592,26,0.7776288790,0,16
28881,16,0.0035320240,0,10
10128430,27,1.2382458890,0,17
110829,19,0.0136206720,0,11
3745531,25,0.4907643840,0,21
12608,15,0.0024071830,0,11
42323,17,0.0055335120,0,13
15054,15,0.0017557230,0,7
3814064,25,0.5075602230,0,17
51080,17,0.0078048350,0,11
10083429,27,1.3123451920,0,17
216000,20,0.0270308600,0,8
269408,20,0.0356485790,0,12
9608157,27,1.2555116970,0,21
4963354,26,0.6457710850,0,18
761900,22,0.0936134920,0,12
779904,22,0.1022501460,0,14
713444,22,0.1031590960,0,12
156601,19,0.0216299700,0,17
197513,20,0.0242344280,0,8
365116,21,0.0471276860,0,9
1905883,24,0.2567793890,0,14
3411288,25,0.4411081110,0,13
